word, type, condition, recog_rating, recog_RT, target_angle, response_angle, response_error, response_RT
NICKEL, STIM, HIGH, 6, 3.3955, 0.8378, 1.0698, -0.2320, 1.9014
STEAK, FOIL, HIGH, 1, 1.9704, NA, NA, NA, NA
HASTY, FOIL, LOW, 1, 2.2629, NA, NA, NA, NA
STATUE, FOIL, HIGH, 1, 1.2593, NA, NA, NA, NA
BREAST, STIM, HIGH, 6, 1.2684, 2.9630, 3.0688, -0.1058, 0.9007
REPEAT, STIM, LOW, 5, 3.7267, 0.7885, -1.9668, 2.7553, 1.4511
NUN, STIM, HIGH, 6, 1.9666, 2.1218, 1.7105, 0.4113, 1.4344
DOTAGE, STIM, LOW, 6, 1.2121, -1.7955, -1.9271, 0.1316, 2.5353
WERE, STIM, LOW, 6, 1.1265, 1.1429, 1.1999, -0.0570, 1.1342
WEED, FOIL, HIGH, 1, 1.2881, NA, NA, NA, NA
LOCKER, FOIL, HIGH, 1, 1.7975, NA, NA, NA, NA
INSULT, FOIL, LOW, 1, 3.7572, NA, NA, NA, NA
FARM, STIM, HIGH, 6, 3.8415, -2.2494, -2.0843, -0.1651, 0.9340
FOREST, STIM, HIGH, 5, 1.8117, 1.8244, 1.7530, 0.0714, 2.3018
FAST, FOIL, LOW, 1, 1.6603, NA, NA, NA, NA
SMART, FOIL, LOW, 1, 1.1248, NA, NA, NA, NA
LIQUOR, STIM, HIGH, 6, 1.0923, 3.0601, 2.5053, 0.5548, 1.7680
COW, STIM, HIGH, 6, 0.8026, 2.0728, 1.9668, 0.1060, 1.1175
FUDGE, FOIL, HIGH, 1, 1.2721, NA, NA, NA, NA
TALK, FOIL, LOW, 1, 1.0968, NA, NA, NA, NA
THEY, STIM, LOW, 6, 1.9582, -2.9664, 1.2309, 2.0859, 0.9674
FLAG, STIM, HIGH, 6, 0.9732, -2.2586, -2.0784, -0.1802, 0.8840
FLEECE, FOIL, HIGH, 1, 1.2459, NA, NA, NA, NA
HELP, STIM, LOW, 6, 1.2433, 2.1998, 2.1487, 0.0511, 0.8340
SPEECH, FOIL, LOW, 1, 0.8987, NA, NA, NA, NA
VIOLIN, FOIL, HIGH, 1, 0.8701, NA, NA, NA, NA
BREAK, STIM, LOW, 6, 0.8760, -0.5615, -0.8826, 0.3210, 2.0849
MENAD, FOIL, LOW, 1, 0.8467, NA, NA, NA, NA
ORDER, FOIL, LOW, 1, 1.9658, NA, NA, NA, NA
DEED, FOIL, LOW, 1, 0.9963, NA, NA, NA, NA
RARITY, STIM, LOW, 6, 0.8551, 2.5715, 2.4115, 0.1600, 1.2009
TRAY, FOIL, HIGH, 1, 1.2989, NA, NA, NA, NA
REFUSE, FOIL, LOW, 1, 1.3902, NA, NA, NA, NA
FANE, STIM, LOW, 6, 0.6619, -1.8153, -2.1201, 0.3048, 1.0675
BYRE, FOIL, LOW, 1, 0.8375, NA, NA, NA, NA
STOVE, STIM, HIGH, 6, 2.2334, 3.0240, 3.1053, -0.0813, 1.5845
DESK, STIM, HIGH, 6, 1.1376, 0.2734, 0.4590, -0.1856, 0.7339
GRAFT, FOIL, LOW, 1, 0.8484, NA, NA, NA, NA
PHASE, STIM, LOW, 6, 1.6953, -0.7609, -0.7743, 0.0134, 1.3010
OTTER, STIM, HIGH, 6, 1.0664, -0.4857, -1.9716, 1.4859, 1.6679
TANK, FOIL, HIGH, 1, 1.9352, NA, NA, NA, NA
LEG, FOIL, HIGH, 1, 0.8887, NA, NA, NA, NA
GORE, STIM, LOW, 6, 1.1142, -1.9795, -1.3169, -0.6626, 0.8006
WITAN, STIM, LOW, 6, 1.1506, 1.9033, 1.9271, -0.0239, 1.1509
INN, STIM, HIGH, 6, 1.7706, -3.0858, 3.1365, 0.0609, 0.7506
BEETLE, FOIL, HIGH, 1, 1.2760, NA, NA, NA, NA
WALNUT, FOIL, HIGH, 1, 1.0086, NA, NA, NA, NA
HELMET, FOIL, HIGH, 1, 0.7770, NA, NA, NA, NA
ISLAND, FOIL, HIGH, 1, 0.6648, NA, NA, NA, NA
STANZA, FOIL, LOW, 1, 0.6622, NA, NA, NA, NA
STONE, FOIL, HIGH, 1, 0.8357, NA, NA, NA, NA
RAP, STIM, LOW, 5, 1.0023, 0.7761, 0.9698, -0.1938, 0.7673
PEARL, FOIL, HIGH, 1, 3.5868, NA, NA, NA, NA
SLAG, STIM, LOW, 6, 1.7787, 0.9796, 0.9741, 0.0055, 0.7839
PAGE, STIM, HIGH, 6, 1.5934, -2.4075, -2.5002, 0.0927, 0.8673
BEFORE, STIM, LOW, 6, 3.2116, -2.5737, -2.0555, -0.5182, 1.0508
LAND, STIM, HIGH, 6, 1.1537, 2.9585, 2.1862, 0.7723, 1.0008
SOFT, STIM, LOW, 6, 1.0075, -0.6878, -0.9151, 0.2273, 0.6171
BEECH, STIM, LOW, 6, 0.9788, -0.1086, -0.0566, -0.0520, 0.9340
CAMEL, FOIL, HIGH, 1, 1.2664, NA, NA, NA, NA
CALF, FOIL, HIGH, 1, 1.9743, NA, NA, NA, NA
DEFACE, STIM, LOW, 6, 1.4468, 0.6312, 0.7633, -0.1321, 0.7005
HEIGHT, STIM, LOW, 6, 1.7304, 0.7689, 0.6372, 0.1317, 1.6012
SOFA, STIM, HIGH, 6, 1.0787, 2.1037, 2.0017, 0.1020, 1.0842
USED, STIM, LOW, 6, 0.6835, 1.1949, 1.1416, 0.0533, 0.9674
ASTUTE, FOIL, LOW, 1, 1.3468, NA, NA, NA, NA
CURSE, FOIL, LOW, 1, 1.4493, NA, NA, NA, NA
JIBE, STIM, LOW, 6, 1.1524, -1.0157, 0.4522, -1.4679, 1.0508
GRAVEL, STIM, HIGH, 6, 0.9004, -1.5516, -1.5394, -0.0122, 0.9507
NOUN, STIM, LOW, 6, 0.7484, 1.9613, 2.1659, -0.2046, 0.8173
FLASK, STIM, HIGH, 6, 0.9761, 1.4201, 1.5500, -0.1299, 1.3177
SPREE, FOIL, LOW, 1, 1.3849, NA, NA, NA, NA
SPIKE, FOIL, HIGH, 4, 4.2009, NA, NA, NA, NA
BOARD, STIM, HIGH, 6, 1.3620, 1.9026, 1.9222, -0.0197, 1.1676
SNAP, STIM, LOW, 6, 1.3561, -2.0167, -2.0368, 0.0201, 0.8006
NISUS, FOIL, LOW, 1, 1.1201, NA, NA, NA, NA
FLOWER, FOIL, HIGH, 1, 1.2969, NA, NA, NA, NA
IVY, FOIL, HIGH, 1, 0.7369, NA, NA, NA, NA
SWEAT, FOIL, HIGH, 1, 0.7563, NA, NA, NA, NA
SWELL, FOIL, LOW, 1, 1.0845, NA, NA, NA, NA
UNCLE, STIM, HIGH, 6, 1.5953, -2.0413, -2.0414, 0.0002, 0.7339
SHIP, STIM, HIGH, 6, 1.1277, -0.8178, -1.0420, 0.2242, 1.4177
IDLE, FOIL, LOW, 1, 1.2132, NA, NA, NA, NA
MAKE, FOIL, LOW, 1, 1.8397, NA, NA, NA, NA
HEEL, FOIL, HIGH, 1, 0.9339, NA, NA, NA, NA
JACKET, FOIL, HIGH, 1, 1.3570, NA, NA, NA, NA
TRICK, FOIL, LOW, 1, 1.1461, NA, NA, NA, NA
PINE, FOIL, HIGH, 1, 1.5409, NA, NA, NA, NA
DESPOT, STIM, LOW, 6, 1.4143, 0.8245, 0.8224, 0.0020, 1.0341
EAR, FOIL, HIGH, 1, 1.8791, NA, NA, NA, NA
BRIBE, STIM, LOW, 6, 1.2211, 1.0242, 1.1788, -0.1546, 0.8673
FIRM, STIM, LOW, 6, 1.1136, 2.4343, 2.4436, -0.0092, 0.8673
RITE, STIM, LOW, 6, 0.8013, 1.7490, 2.1023, -0.3532, 1.7347
CLUE, STIM, LOW, 6, 1.2527, 2.9306, 2.9901, -0.0595, 0.7672
RUG, STIM, HIGH, 6, 0.6467, 0.3695, 0.1404, 0.2291, 0.7506
HABIT, FOIL, LOW, 1, 1.2088, NA, NA, NA, NA
PARK, STIM, HIGH, 6, 1.2848, 0.5988, 0.5937, 0.0050, 0.8340
RODE, FOIL, LOW, 1, 1.7039, NA, NA, NA, NA
RURAL, FOIL, LOW, 1, 1.1101, NA, NA, NA, NA
ERRAND, STIM, LOW, 6, 1.1347, 1.1990, 1.1257, 0.0733, 1.0341
WHEAT, STIM, HIGH, 6, 3.2760, 1.2718, 1.1680, 0.1039, 0.9174
DITCH, STIM, HIGH, 6, 1.4092, -2.0316, -1.9398, -0.0917, 1.2676
YACHT, FOIL, HIGH, 1, 2.2290, NA, NA, NA, NA
JAIL, STIM, HIGH, 6, 0.8258, 1.1366, 1.4065, -0.2699, 2.9689
BAND, FOIL, HIGH, 1, 1.9933, NA, NA, NA, NA
HOUR, STIM, LOW, 6, 1.0666, 1.7286, 1.7171, 0.0115, 2.5186
RIVER, STIM, HIGH, 6, 0.7716, 0.9814, 1.0702, -0.0888, 0.9841
FORT, FOIL, HIGH, 1, 1.1538, NA, NA, NA, NA
BULLET, STIM, HIGH, 6, 2.0998, -1.9916, -1.7780, -0.2136, 1.3677
LOAFER, FOIL, LOW, 1, 1.0349, NA, NA, NA, NA
MOHUR, FOIL, LOW, 1, 0.9248, NA, NA, NA, NA
BUCKLE, STIM, HIGH, 6, 1.2540, 0.1808, 0.1397, 0.0411, 0.8506
HAIR, FOIL, HIGH, 1, 2.5896, NA, NA, NA, NA
POCKET, STIM, HIGH, 6, 1.5472, -1.9594, -1.9853, 0.0259, 0.9674
PEWIT, STIM, LOW, 6, 1.2627, -0.5499, -0.7854, 0.2355, 0.8840
GRASS, FOIL, HIGH, 1, 1.3211, NA, NA, NA, NA
QUEAN, FOIL, LOW, 1, 1.1592, NA, NA, NA, NA
SHE, STIM, LOW, 6, 1.0776, -0.8852, -1.2918, 0.4065, 0.9507
PLUM, FOIL, HIGH, 1, 0.9983, NA, NA, NA, NA
COAST, FOIL, HIGH, 1, 0.9402, NA, NA, NA, NA
DISC, FOIL, HIGH, 1, 1.3049, NA, NA, NA, NA
MALE, STIM, HIGH, 6, 1.1243, -2.8625, -2.8954, 0.0329, 1.3510
SALE, FOIL, LOW, 3, 3.3701, NA, NA, NA, NA
SCHEME, FOIL, LOW, 1, 1.2641, NA, NA, NA, NA
SKI, FOIL, HIGH, 1, 0.8804, NA, NA, NA, NA
LETTER, STIM, HIGH, 6, 0.9542, 1.4268, 1.4567, -0.0300, 1.1342
MINK, STIM, HIGH, 6, 0.7543, -1.2743, -1.3816, 0.1073, 1.6179
CAKE, FOIL, HIGH, 1, 1.8866, NA, NA, NA, NA
GOSPEL, STIM, LOW, 6, 0.8841, -1.5216, -1.5656, 0.0440, 1.6513
CAUGHT, STIM, LOW, 1, 2.7369, 2.5507, 1.9927, 0.5580, 1.6679
FUR, STIM, HIGH, 1, 0.7669, -2.7723, -2.4856, -0.2867, 0.9674
BODY, STIM, HIGH, 6, 3.0684, 2.0618, 2.0087, 0.0531, 1.0341
PIE, FOIL, HIGH, 1, 1.0208, NA, NA, NA, NA
FAULT, FOIL, LOW, 6, 1.2339, NA, NA, NA, NA
OUT, STIM, LOW, 5, 5.5057, -2.1667, -2.1446, -0.0222, 1.2676
TRUE, FOIL, LOW, 1, 2.2600, NA, NA, NA, NA
SHOP, STIM, HIGH, 6, 1.0025, -1.8692, -1.7906, -0.0787, 1.0508
PRIME, STIM, LOW, 6, 1.0157, 0.0065, -0.0569, 0.0634, 1.2510
REMEDY, FOIL, LOW, 1, 2.9343, NA, NA, NA, NA
AXLE, FOIL, HIGH, 1, 1.2284, NA, NA, NA, NA
TABLE, STIM, HIGH, 6, 1.8973, -2.7350, -2.3380, -0.3970, 1.6846
PASS, FOIL, LOW, 1, 1.4438, NA, NA, NA, NA
TRUCK, STIM, HIGH, 6, 0.9867, -1.1648, -1.5551, 0.3903, 1.9848
CHEST, FOIL, HIGH, 1, 2.3757, NA, NA, NA, NA
VELVET, STIM, HIGH, 6, 1.1249, 3.0064, 2.9790, 0.0274, 0.7506
ARROW, STIM, HIGH, 4, 3.1935, -2.7894, -2.7919, 0.0025, 0.8173
TOILET, FOIL, HIGH, 1, 1.8062, NA, NA, NA, NA
TO, STIM, LOW, 6, 1.1816, -1.1778, -1.0698, -0.1080, 1.1509
CAUCUS, FOIL, LOW, 1, 1.6698, NA, NA, NA, NA
TOMATO, STIM, HIGH, 6, 1.0760, -2.6510, -2.7171, 0.0660, 1.0174
MINNOW, STIM, HIGH, 6, 0.9650, 0.1025, 0.2875, -0.1850, 1.0508
SEA, STIM, HIGH, 6, 0.9043, -2.6025, -2.2576, -0.3449, 1.1175
SLOUGH, FOIL, LOW, 1, 1.2109, NA, NA, NA, NA
SHIELD, FOIL, HIGH, 1, 1.5317, NA, NA, NA, NA
KNEE, FOIL, HIGH, 1, 1.0298, NA, NA, NA, NA
REIGN, FOIL, LOW, 1, 0.9981, NA, NA, NA, NA
WHERE, FOIL, LOW, 1, 1.7143, NA, NA, NA, NA
