word, type, condition, recog_rating, recog_RT, target_angle, response_angle, response_error, response_RT
RECORD, STIM, HIGH, 5, 3.0494, -2.5887, 0.0000, -2.5887, 0.1501
QUEST, FOIL, LOW, 3, 3.8867, NA, NA, NA, NA
BRIDGE, STIM, HIGH, 6, 0.6495, -2.7624, 0.9720, 2.5488, 0.2835
GREAT, STIM, LOW, 6, 0.4905, -2.5325, -1.2918, -1.2407, 0.1001
THUD, FOIL, LOW, 1, 0.7931, NA, NA, NA, NA
FLAG, FOIL, HIGH, 2, 0.8544, NA, NA, NA, NA
EASE, FOIL, LOW, 2, 1.4195, NA, NA, NA, NA
SINGER, STIM, HIGH, 6, 0.5303, -0.0973, -1.6033, 1.5061, 0.3336
QUILT, STIM, HIGH, 6, 0.4946, -0.9499, -2.2035, 1.2536, 0.1334
GRAPE, FOIL, HIGH, 1, 1.7553, NA, NA, NA, NA
LOSE, FOIL, LOW, 2, 2.7675, NA, NA, NA, NA
GENTRY, FOIL, LOW, 1, 0.9127, NA, NA, NA, NA
WALRUS, FOIL, HIGH, 2, 0.8167, NA, NA, NA, NA
IMPACT, STIM, LOW, 1, 0.8491, 1.0393, -0.9787, 2.0180, 0.1668
BLOUSE, STIM, HIGH, 6, 0.7437, 2.2011, 0.7443, 1.4568, 0.1168
CABIN, STIM, HIGH, 6, 0.8362, 0.4748, 2.3889, -1.9141, 0.2502
EFFORT, FOIL, LOW, 1, 1.0356, NA, NA, NA, NA
DANCER, FOIL, HIGH, 1, 1.4973, NA, NA, NA, NA
KEG, STIM, HIGH, 6, 0.5327, 1.7145, -0.7884, 2.5029, 0.3169
HORSE, STIM, HIGH, 6, 0.7221, -0.6905, -2.6383, 1.9478, 0.4003
FEE, FOIL, LOW, 1, 1.5654, NA, NA, NA, NA
DAD, STIM, HIGH, 6, 0.7553, -2.5964, -0.9828, -1.6137, 0.3002
ABRUPT, STIM, LOW, 6, 0.7423, 2.7626, 0.9294, 1.8333, 0.4670
RELIEF, FOIL, LOW, 2, 1.1141, NA, NA, NA, NA
TAIL, FOIL, HIGH, 3, 2.9754, NA, NA, NA, NA
CROWD, FOIL, HIGH, 3, 0.9579, NA, NA, NA, NA
ANELE, STIM, LOW, 6, 0.6811, 0.9001, -1.6220, 2.5221, 0.2502
GARLIC, FOIL, HIGH, 1, 0.9333, NA, NA, NA, NA
TWANG, STIM, LOW, 6, 0.4468, -1.1991, 0.9345, -2.1336, 0.3169
SLIME, STIM, HIGH, 6, 0.8141, -2.0220, 2.8097, 1.4515, 0.2835
MAP, FOIL, HIGH, 4, 1.9448, NA, NA, NA, NA
RAIN, FOIL, HIGH, 3, 0.7908, NA, NA, NA, NA
TELL, STIM, LOW, 6, 0.4799, -0.1708, -0.7959, 0.6251, 0.4003
HEAR, FOIL, LOW, 2, 0.8208, NA, NA, NA, NA
HELMET, STIM, HIGH, 5, 1.1700, -0.5286, -0.2596, -0.2690, 0.2502
UP, FOIL, LOW, 6, 0.9322, NA, NA, NA, NA
ALIEN, STIM, LOW, 6, 0.5017, 3.0697, -2.1721, -1.0414, 0.2335
DUTY, FOIL, LOW, 2, 0.7031, NA, NA, NA, NA
GUN, STIM, HIGH, 6, 0.7519, 1.4757, 0.0410, 1.4347, 0.3336
CAGE, STIM, HIGH, 5, 0.8990, 0.5616, 2.1067, -1.5451, 0.3669
SHOW, STIM, LOW, 6, 1.1585, 0.8095, -2.5497, -2.9240, 0.1168
MOON, STIM, HIGH, 6, 0.6057, 1.5851, 2.6281, -1.0430, 0.0500
MEMBER, FOIL, LOW, 2, 0.7411, NA, NA, NA, NA
PIPE, FOIL, HIGH, 1, 0.5219, NA, NA, NA, NA
DEAR, STIM, LOW, 6, 0.5235, 3.0138, -0.8272, -2.4422, 0.2335
KITTEN, FOIL, HIGH, 1, 1.2090, NA, NA, NA, NA
