model_name, participant, is_model, quantile_idx, rt, theta
Thresh, 1, true, 0.1, 0.11112, -3.1416
Thresh, 1, true, 0.1, 0.11112, -3.0159
Thresh, 1, true, 0.1, 0.11112, -2.8903
Thresh, 1, true, 0.1, 0.11112, -2.7646
Thresh, 1, true, 0.1, 0.11112, -2.6389
Thresh, 1, true, 0.1, 0.11112, -2.5133
Thresh, 1, true, 0.1, 0.11112, -2.3876
Thresh, 1, true, 0.1, 0.11112, -2.2619
Thresh, 1, true, 0.1, 0.11112, -2.1363
Thresh, 1, true, 0.1, 0.11112, -2.0106
Thresh, 1, true, 0.1, 0.11112, -1.885
Thresh, 1, true, 0.1, 0.11112, -1.7593
Thresh, 1, true, 0.1, 0.11112, -1.6336
Thresh, 1, true, 0.1, 0.11112, -1.508
Thresh, 1, true, 0.1, 0.11112, -1.3823
Thresh, 1, true, 0.1, 0.11112, -1.2566
Thresh, 1, true, 0.1, 0.11113, -1.131
Thresh, 1, true, 0.1, 0.11114, -1.0053
Thresh, 1, true, 0.1, 0.1112, -0.87965
Thresh, 1, true, 0.1, 0.11144, -0.75398
Thresh, 1, true, 0.1, 0.11215, -0.62832
Thresh, 1, true, 0.1, 0.1139, -0.50265
Thresh, 1, true, 0.1, 0.11725, -0.37699
Thresh, 1, true, 0.1, 0.12189, -0.25133
Thresh, 1, true, 0.1, 0.12618, -0.12566
Thresh, 1, true, 0.1, 0.12798, 1.1102e-15
Thresh, 1, true, 0.1, 0.12618, 0.12566
Thresh, 1, true, 0.1, 0.12189, 0.25133
Thresh, 1, true, 0.1, 0.11725, 0.37699
Thresh, 1, true, 0.1, 0.1139, 0.50265
Thresh, 1, true, 0.1, 0.11215, 0.62832
Thresh, 1, true, 0.1, 0.11144, 0.75398
Thresh, 1, true, 0.1, 0.1112, 0.87965
Thresh, 1, true, 0.1, 0.11114, 1.0053
Thresh, 1, true, 0.1, 0.11113, 1.131
Thresh, 1, true, 0.1, 0.11112, 1.2566
Thresh, 1, true, 0.1, 0.11112, 1.3823
Thresh, 1, true, 0.1, 0.11112, 1.508
Thresh, 1, true, 0.1, 0.11112, 1.6336
Thresh, 1, true, 0.1, 0.11112, 1.7593
Thresh, 1, true, 0.1, 0.11112, 1.885
Thresh, 1, true, 0.1, 0.11112, 2.0106
Thresh, 1, true, 0.1, 0.11112, 2.1363
Thresh, 1, true, 0.1, 0.11112, 2.2619
Thresh, 1, true, 0.1, 0.11112, 2.3876
Thresh, 1, true, 0.1, 0.11112, 2.5133
Thresh, 1, true, 0.1, 0.11112, 2.6389
Thresh, 1, true, 0.1, 0.11112, 2.7646
Thresh, 1, true, 0.1, 0.11112, 2.8903
Thresh, 1, true, 0.1, 0.11112, 3.0159
Thresh, 1, true, 0.5, 0.35622, -3.1416
Thresh, 1, true, 0.5, 0.35622, -3.0159
Thresh, 1, true, 0.5, 0.35622, -2.8903
Thresh, 1, true, 0.5, 0.35622, -2.7646
Thresh, 1, true, 0.5, 0.35622, -2.6389
Thresh, 1, true, 0.5, 0.35622, -2.5133
Thresh, 1, true, 0.5, 0.35622, -2.3876
Thresh, 1, true, 0.5, 0.35622, -2.2619
Thresh, 1, true, 0.5, 0.35622, -2.1363
Thresh, 1, true, 0.5, 0.35622, -2.0106
Thresh, 1, true, 0.5, 0.35622, -1.885
Thresh, 1, true, 0.5, 0.35622, -1.7593
Thresh, 1, true, 0.5, 0.35622, -1.6336
Thresh, 1, true, 0.5, 0.35622, -1.508
Thresh, 1, true, 0.5, 0.35622, -1.3823
Thresh, 1, true, 0.5, 0.35622, -1.2566
Thresh, 1, true, 0.5, 0.35624, -1.131
Thresh, 1, true, 0.5, 0.35633, -1.0053
Thresh, 1, true, 0.5, 0.3567, -0.87965
Thresh, 1, true, 0.5, 0.35812, -0.75398
Thresh, 1, true, 0.5, 0.36253, -0.62832
Thresh, 1, true, 0.5, 0.37337, -0.50265
Thresh, 1, true, 0.5, 0.39513, -0.37699
Thresh, 1, true, 0.5, 0.42813, -0.25133
Thresh, 1, true, 0.5, 0.46244, -0.12566
Thresh, 1, true, 0.5, 0.47781, 1.1102e-15
Thresh, 1, true, 0.5, 0.46244, 0.12566
Thresh, 1, true, 0.5, 0.42813, 0.25133
Thresh, 1, true, 0.5, 0.39513, 0.37699
Thresh, 1, true, 0.5, 0.37337, 0.50265
Thresh, 1, true, 0.5, 0.36253, 0.62832
Thresh, 1, true, 0.5, 0.35812, 0.75398
Thresh, 1, true, 0.5, 0.3567, 0.87965
