participant, model_name, BIC, v1, v2, eta, a1, a2, pi, Ter, st, sa
1, Cont, 888.4372, 0.15495, 0, 1.358, 1.3636, 0, 0, -0.1165, 0.033024, 0
1, Thresh, 900.8228, 5.0498, 0, 0, 3.0392, 1.1117, 0.029489, -0.10787, 0.019001, 0
1, Hybrid, 903.7532, 3.5936, 0, 0.134, 4.9998, 1.0983, 0.023726, -0.10705, 0.018667, 0
2, Cont, 2208.4119, 1.2239, 0, 0.36958, 1.9415, 0, 0, 0.015198, 0.35937, 0
2, Thresh, 1974.2414, 3.0953, 0, 0, 4.3325, 2.0227, 0.6529, -0.18715, 0.018527, 0
2, Hybrid, 1963.2816, 3.6126, 0, 0.69987, 4.9997, 1.9233, 0.68962, -0.15767, 6.0192e-05, 0
3, Cont, 1889.808, 1.0162, 0, 0.69477, 1.4325, 0, 0, -0.063406, 0.073469, 0
3, Thresh, 1744.8986, 2.8361, 0, 0, 2.1807, 1.2701, 0.52056, -0.069057, 0.02881, 0
3, Hybrid, 1750.7895, 2.8906, 0, 0.22799, 2.2073, 1.27, 0.52296, -0.068184, 0.03275, 0
4, Cont, 3740.3787, 1.4306, 0, 0.92414, 1.5669, 0, 0, 0.093171, 0.12712, 0
4, Thresh, 3152.6566, 5.7415, 0, 0, 4.1214, 1.4647, 0.48777, -0.044584, 0.12856, 0
4, Hybrid, 3167.9943, 5.7372, 0, 0.26722, 4.2645, 1.4896, 0.49251, -0.043827, 0.077924, 0
5, Cont, 2207.4771, 1.2334, 0, 0.75825, 1.9346, 0, 0, -0.041035, 0.060108, 0
5, Thresh, 1985.5666, 2.9047, 0, 0, 3.0516, 1.6765, 0.60751, -0.11251, 0.016078, 0
5, Hybrid, 1991.7861, 2.925, 0, 0.071617, 3.0662, 1.6751, 0.60599, -0.1123, 0.018753, 0
6, Cont, 1619.1893, 1.0116, 0, 2.9995, 1.9742, 0, 0, 0.12743, 0.074188, 0
6, Thresh, 1564.7504, 4.5987, 0, 0, 1.8621, 1.0012, 0.25745, 0.11881, 0.19531, 0
6, Hybrid, 1571.3037, 4.9686, 0, 0.66493, 1.9959, 1.0005, 0.25804, 0.11855, 0.20601, 0
7, Cont, 1447.0752, 2.1203, 0, 1.2812, 1.7549, 0, 0, -0.094725, 0.028855, 0
7, Thresh, 1273.46, 3.8328, 0, 0, 2.2144, 1.2987, 0.66536, -0.18068, 0.16097, 0
7, Hybrid, 1276.2235, 3.8151, 0, 0.043569, 2.0787, 1.2683, 0.65934, -0.15856, 0.17981, 0
8, Cont, 1218.4313, 2.4659, 0, 0.54052, 1.9291, 0, 0, -0.062341, 0.4088, 0
8, Thresh, 606.5832, 4.5114, 0, 0, 4.9999, 1.7589, 0.83971, -0.31653, 0.042676, 0
8, Hybrid, 613.2227, 4.5219, 0, 0.12835, 4.9997, 1.7396, 0.84975, -0.29751, 0.0088557, 0
9, Cont, 2077.2016, 0.14104, 0, 0.66853, 1.1466, 0, 0, -0.10581, 0.0044451, 0
9, Thresh, 2092.8428, 3.739, 0, 0, 4.9979, 1.0782, 0.013565, -0.10449, 0.0021556, 0
9, Hybrid, 2098.4729, 3.5012, 0, 0.011831, 4.9994, 1.0777, 0.013977, -0.10421, 0.008405, 0
10, Cont, 1976.1144, 1.578, 0, 0.34769, 3.825, 0, 0, -0.34982, 0.12139, 0
10, Thresh, 1860.3617, 1.7787, 0, 0, 4.0364, 2.2035, 0.92602, -0.23189, 9.8398e-06, 0
10, Hybrid, 1919.319, 1.71, 0, 7.3514e-06, 3.6632, 2.3533, 0.92058, -0.12136, 0.052463, 0
11, Cont, 1838.5684, 0.76426, 0, 0.00012788, 1.1745, 0, 0, -0.12136, 0.071442, 0
11, Thresh, 1664.9252, 4.2985, 0, 0, 2.4557, 1.0674, 0.36154, -0.13938, 0.16696, 0
11, Hybrid, 1670.1445, 4.2667, 0, 0.091103, 2.4098, 1.0652, 0.36759, -0.14954, 0.19489, 0
12, Cont, 1497.0792, 1.7622, 0, 0.48358, 1.3529, 0, 0, 0.11052, 0.36406, 0
12, Thresh, 1019.2918, 4.9422, 0, 0, 4.0686, 1.3759, 0.68851, -0.049848, 0.1066, 0
12, Hybrid, 1024.6942, 5.0717, 0, 0.00077438, 4.3147, 1.4076, 0.68371, -0.10437, 0.15566, 0
13, Cont, 1552.9226, 0.00010097, 0, 2.6778, 1.4296, 0, 0, -0.11909, 0.030295, 0
13, Thresh, 1613.5351, 3.1507, 0, 0, 4.9922, 0.95228, 0.01132, -0.11907, 0.016504, 0
13, Hybrid, 1614.7919, 4.9909, 0, 0.16055, 1.474, 0.97145, 0.066272, -0.11909, 0.0041379, 0
15, Cont, 1910.3047, 0.19894, 0, 2.0489, 1.5629, 0, 0, -0.10428, 0.070641, 0
15, Thresh, 1940.2267, 5.973, 0, 0, 2.8443, 1.0197, 0.055732, -0.11182, 0.19491, 0
15, Hybrid, 1943.1593, 5.3765, 0, 0.046342, 2.5512, 1.0161, 0.061016, -0.12528, 0.2291, 0
16, Cont, 1966.8142, 1.0032, 0, 0.0017264, 1.5132, 0, 0, 0.083043, 0.068379, 0
16, Thresh, 1824.0835, 2.5371, 0, 0, 2.6707, 1.4853, 0.61844, -0.011778, 0.030335, 0
16, Hybrid, 1826.745, 2.6978, 0, 0.35236, 2.8352, 1.4778, 0.62364, -0.059903, 0.10275, 0
17, Cont, 2030.0276, 0.15601, 0, 0.82231, 1.5952, 0, 0, -0.028743, 0.11664, 0
17, Thresh, 2047.9373, 2.0154, 0, 0, 2.0929, 1.4323, 0.10058, -0.026352, 0.060606, 0
17, Hybrid, 2053.2895, 4.7269, 0, 0.00020137, 4.7179, 1.4988, 0.040699, -0.1065, 0.087091, 0
18, Cont, 2051.8315, 1.1806, 0, 0.10222, 1.4275, 0, 0, 0.12334, 0.48279, 0
18, Thresh, 1832.0339, 2.8536, 0, 0, 2.987, 1.4593, 0.65066, 0.10487, 0.034397, 0
18, Hybrid, 1832.4246, 3.2084, 0, 0.45085, 3.2268, 1.4346, 0.65013, 0.053916, 0.17763, 0
19, Cont, 1662.6201, 0.51431, 0, 0.25601, 1.0402, 0, 0, -0.09761, 0.017352, 0
19, Thresh, 1592.0057, 4.2171, 0, 0, 2.8077, 0.97509, 0.20343, -0.098117, 0.0081469, 0
19, Hybrid, 1598.1583, 4.2085, 0, 0.0090391, 2.8034, 0.97485, 0.20361, -0.098101, 0.012828, 0
20, Cont, 1635.7409, 0.52037, 0, 0.99954, 1.0476, 0, 0, -0.13579, 0.0056589, 0
20, Thresh, 1618.5293, 2.1755, 0, 0, 1.5537, 0.90223, 0.23895, -0.13579, 0.0025275, 0
20, Hybrid, 1624.7123, 2.1945, 0, 0.047482, 1.5719, 0.90213, 0.23545, -0.13579, 0.026749, 0
