participant, model_name, BIC, v1, v2, eta, a1, a2, pi, Ter, st, sa
1, Cont, 885.7586, 0.14137, 0, 0.30276, 1.0675, 0, 0, -0.069185, 0.0021669, 0
1, Thresh, 887.4054, 3.2894, 0, 0, 4.5006, 1.0341, 0.028077, -0.066463, 0.0096043, 0
1, Hybrid, 887.4143, 3.3081, 0, 0.010738, 4.5006, 1.0376, 0.027253, -0.067686, 0.033881, 0
2, Cont, 2208.4131, 1.2145, 0, 0.36357, 1.9334, 0, 0, 0.032467, 0.31741, 0
2, Thresh, 1974.0094, 3.1001, 0, 0, 4.4379, 2.0457, 0.65376, -0.21802, 0.0078565, 0
2, Hybrid, 1968.3526, 3.2228, 0, 0.3535, 4.4377, 1.9788, 0.66552, -0.158, 7.6643e-06, 0
3, Cont, 1868.7476, 0.89301, 0, 0.15438, 1.2248, 0, 0, -0.027744, 0.12878, 0
3, Thresh, 1743.9239, 2.8116, 0, 0, 2.102, 1.2401, 0.52193, -0.046366, 0.022069, 0
3, Hybrid, 1743.7611, 2.8133, 0, 0.031785, 2.1074, 1.2455, 0.52132, -0.057707, 0.036186, 0
4, Cont, 3723.5986, 1.5766, 0, 1.1064, 1.5531, 0, 0, 0.1086, 0.18155, 0
4, Thresh, 3206.8053, 4.0164, 0, 0, 2.9594, 1.4624, 0.54716, 0.007541, 0.070762, 0
4, Hybrid, 3206.4707, 4.0143, 0, 0.015928, 2.9288, 1.4535, 0.54716, 0.039967, 0.025254, 0
5, Cont, 2198.8137, 1.099, 0, 0.50001, 1.6995, 0, 0, 0.009722, 0.078069, 0
5, Thresh, 1985.5653, 2.9039, 0, 0, 3.0508, 1.6736, 0.60647, -0.11197, 0.030844, 0
5, Hybrid, 1985.6821, 2.9067, 0, 0.0075813, 3.0363, 1.6727, 0.60475, -0.12477, 0.045084, 0
6, Cont, 1574.4196, 0.79059, 0, 2.025, 1.3518, 0, 0, 0.17781, 0.077981, 0
6, Thresh, 1538.6465, 3.2604, 0, 0, 1.3138, 0.92057, 0.30238, 0.13435, 0.27955, 0
6, Hybrid, 1528.8996, 4.003, 0, 0.30718, 1.656, 0.9652, 0.25985, 0.17681, 0.11394, 0
7, Cont, 1434.9102, 1.9009, 0, 0.98297, 1.4732, 0, 0, -0.061466, 0.0449, 0
7, Thresh, 1264.4196, 3.9821, 0, 0, 2.1136, 1.2639, 0.64895, -0.1755, 0.22876, 0
7, Hybrid, 1274.6446, 4.0012, 0, 0.13745, 1.5079, 1.1272, 0.65074, -0.076401, 0.33039, 0
8, Cont, 1245.5553, 2.0952, 0, 0.15853, 2.1314, 0, 0, -0.046488, 0.033945, 0
8, Thresh, 637.2479, 4.0145, 0, 0, 4.5076, 1.714, 0.86163, -0.28724, 0.0095798, 0
8, Hybrid, 637.8076, 4.014, 0, 0.069023, 4.5067, 1.7109, 0.86055, -0.28581, 0.016283, 0
9, Cont, 2060.286, 0.12795, 0, 0.19198, 1.0277, 0, 0, -0.063592, 0.0024284, 0
9, Thresh, 2060.9006, 1.5701, 0, 0, 1.6837, 0.9845, 0.0851, -0.056189, 0.030786, 0
9, Hybrid, 2062.6305, 3.066, 0, 0.18726, 4.4986, 0.99914, 0.019616, -0.056505, 0.018861, 0
10, Cont, 1974.8211, 1.564, 0, 0.33276, 3.8438, 0, 0, -0.34999, 0.06714, 0
10, Thresh, 1829.6468, 1.8105, 0, 0, 4.1487, 2.2369, 0.92058, -0.29606, 4.6779e-05, 0
10, Hybrid, 1768.0932, 1.8766, 0, 0.135, 4.5075, 2.4242, 0.93249, -0.43912, 0.046567, 0
11, Cont, 1782.6205, 0.96052, 0, 1.1269, 1.2663, 0, 0, -0.079575, 0.094027, 0
11, Thresh, 1636.8183, 4.0034, 0, 0, 2.1325, 0.99589, 0.36856, -0.10623, 0.19966, 0
11, Hybrid, 1639.5453, 4.0028, 0, 0.10317, 2.1849, 1.0069, 0.36881, -0.099865, 0.16167, 0
12, Cont, 1470.9094, 1.8133, 0, 0.4456, 1.1943, 0, 0, 0.14201, 0.42129, 0
12, Thresh, 1043.1368, 4.0103, 0, 0, 3.3461, 1.3539, 0.71707, -0.029398, 0.10987, 0
12, Hybrid, 1044.7246, 4.0133, 0, 0.023805, 3.4421, 1.3701, 0.7184, -0.060163, 0.11617, 0
13, Cont, 1554.8856, 0.096453, 0, 1.5585, 1.0048, 0, 0, -0.068887, 7.0915e-06, 0
13, Thresh, 1557.8697, 2.7397, 0, 0, 4.5004, 0.86334, 0.015916, -0.068576, 0.020087, 0
13, Hybrid, 1558.7605, 2.3843, 0, 0.070706, 3.8927, 0.86197, 0.016304, -0.068262, 0.010621, 0
15, Cont, 1882.7995, 0.15935, 0, 0.47236, 0.98474, 0, 0, -0.074106, 0.19487, 0
15, Thresh, 1883.2022, 3.5091, 0, 0, 4.2055, 0.89648, 0.023561, -0.053298, 0.22878, 0
15, Hybrid, 1895.9931, 3.59, 0, 0.16494, 1.9884, 0.98753, 0.081739, -0.06069, 0.11592, 0
16, Cont, 1966.2013, 0.99912, 0, 0.020833, 1.4996, 0, 0, 0.09274, 0.07465, 0
16, Thresh, 1824.1515, 2.5607, 0, 0, 2.7249, 1.5044, 0.6181, -0.026672, 0.019007, 0
16, Hybrid, 1821.6824, 2.6582, 0, 0.27933, 2.8422, 1.507, 0.62241, -0.037101, 0.016228, 0
17, Cont, 1999.7182, 0.20399, 0, 1.4839, 1.9797, 0, 0, -0.1087, 0.22881, 0
17, Thresh, 2025.3305, 1.9814, 0, 0, 2.1181, 1.4539, 0.10773, -0.084228, 0.12708, 0
17, Hybrid, 1995.1484, 1.5273, 0, 0.21483, 1.7105, 1.3123, 0.096945, -0.060519, 0.34738, 0
18, Cont, 2048.7783, 1.1797, 0, 0.078296, 1.3943, 0, 0, 0.13422, 0.49963, 0
18, Thresh, 1832.9812, 2.8776, 0, 0, 3.0077, 1.4667, 0.65232, 0.03649, 0.17669, 0
18, Hybrid, 1830.4132, 3.0618, 0, 0.28664, 3.3006, 1.5159, 0.64981, 0.065544, 0.017875, 0
19, Cont, 1620.3793, 0.51712, 0, 0.056502, 0.9554, 0, 0, -0.051672, 0.025116, 0
19, Thresh, 1545.4804, 4.0018, 0, 0, 2.5606, 0.8946, 0.20534, -0.051679, 0.0027999, 0
19, Hybrid, 1545.6717, 3.9354, 0, 0.027885, 2.5235, 0.8956, 0.20507, -0.051687, 0.00031083, 0
20, Cont, 1606.8924, 0.49808, 0, 0.20511, 0.89389, 0, 0, -0.10202, 0.040265, 0
20, Thresh, 1560.1231, 2.329, 0, 0, 1.8339, 0.79635, 0.19368, -0.084958, 0.015908, 0
20, Hybrid, 1560.1013, 2.3306, 0, 0.12021, 1.8352, 0.79693, 0.19347, -0.08496, 0.0093345, 0
