participant, model_name, BIC, v1, v2, eta, a1, a2, pi, Ter, st, sa
1, Cont, 900.2757, 0.18127, 0, 2.1788, 1.8826, 0, 0, -0.1776, 0.020988, 0
1, Thresh, 926.0941, 5.6381, 0, 0, 3.6936, 1.2002, 0.030197, -0.17443, 0.032617, 0
1, Hybrid, 927.6896, 2.0831, 0, 0.54447, 1.746, 1.1958, 0.1286, -0.17462, 0.00036308, 0
2, Cont, 2211.9388, 1.1868, 0, 0.34077, 1.986, 0, 0, 0.067696, 0.14432, 0
2, Thresh, 1974.0108, 3.1038, 0, 0, 4.4488, 2.0463, 0.65311, -0.21821, 0.018145, 0
2, Hybrid, 1968.1986, 3.6029, 0, 0.70769, 4.7193, 1.8802, 0.68647, -0.097655, 0.035539, 0
3, Cont, 1907.7308, 1.014, 0, 0.7123, 1.4754, 0, 0, -0.14841, 0.19485, 0
3, Thresh, 1759.0062, 2.8981, 0, 0, 2.2956, 1.3212, 0.52665, -0.15887, 0.13387, 0
3, Hybrid, 1764.3965, 3.2542, 0, 0.55015, 2.6076, 1.343, 0.53119, -0.14286, 0.047523, 0
4, Cont, 3797.2106, 1.7166, 0, 1.3917, 2.0482, 0, 0, 0.026132, 0.082066, 0
4, Thresh, 3151.0521, 5.915, 0, 0, 4.0669, 1.4334, 0.47656, -0.033754, 0.16101, 0
4, Hybrid, 3161.9413, 5.617, 0, 0.10614, 3.9534, 1.4581, 0.49822, -0.027594, 0.12708, 0
5, Cont, 2214.6341, 1.1572, 0, 0.61091, 1.7138, 0, 0, 0.038612, 0.076287, 0
5, Thresh, 1985.7413, 2.9235, 0, 0, 3.0886, 1.6821, 0.60508, -0.1202, 0.0070247, 0
5, Hybrid, 1991.851, 2.9945, 0, 0.26176, 3.1828, 1.686, 0.60941, -0.12695, 0.027188, 0
6, Cont, 1661.1623, 1.0227, 0, 2.9999, 2.0671, 0, 0, 0.054529, 0.19146, 0
6, Thresh, 1642.9077, 4.4247, 0, 0, 2.2498, 1.1253, 0.27166, 0.0581, 0.12814, 0
6, Hybrid, 1644.4406, 4.5107, 0, 0.12331, 2.2109, 1.1076, 0.26992, 0.055962, 0.17055, 0
7, Cont, 1481.1127, 2.505, 0, 1.8529, 2.3608, 0, 0, -0.16184, 0.0012974, 0
7, Thresh, 1288.0836, 3.6999, 0, 0, 2.4234, 1.3559, 0.66293, -0.17002, 0.0083474, 0
7, Hybrid, 1294.1002, 3.7129, 0, 0.10485, 2.4334, 1.3562, 0.66119, -0.17022, 0.013105, 0
8, Cont, 1257.0603, 1.9442, 0, 8.6534e-05, 2.1463, 0, 0, -0.088436, 7.6975e-06, 0
8, Thresh, 606.4395, 4.509, 0, 0, 4.9988, 1.7253, 0.84691, -0.29933, 0.00025017, 0
8, Hybrid, 619.1723, 4.794, 0, 0.0166, 4.9997, 1.6619, 0.83323, -0.24472, 0.0033741, 0
9, Cont, 2099.0046, 0.16477, 0, 2.5191, 1.967, 0, 0, -0.17296, 0.024692, 0
9, Thresh, 2154.1835, 1.2497, 0, 0, 1.3729, 1.1677, 0.14503, -0.17161, 0.00060161, 0
9, Hybrid, 2168.593, 0.83625, 0, 0.29011, 1.3985, 1.1667, 0.0056434, -0.17379, 0.034269, 0
10, Cont, 2050.1033, 1.9382, 0, 0.68091, 3.9844, 0, 0, -0.096575, 0.033818, 0
10, Thresh, 1910.2593, 1.6678, 0, 0, 3.6492, 2.1897, 0.91868, -0.11625, 1.6625e-05, 0
