model_name, participant, v1a, v2a, v1b, v2b, eta1, eta2, a, Ter, st, sa
Continuous, 1, 0.15377, -0.02519, 0.21381, -0.060091, 1.0678, 0.82148, 1.1843, -0.12135, 0.1092, 0.099658
Continuous, 2, 0.91894, 0.0079241, 1.0422, -0.038583, 0.00037588, 0.034155, 1.8428, 0.15215, 0.00010132, 0.14943
Continuous, 3, 0.81766, -0.061282, 1.0117, 0.078156, 0.37377, 0.0091801, 1.2124, -0.023935, 0.14403, 0.1034
Continuous, 4, 1.2827, 0.10983, 1.5886, -0.11436, 1.1541, 0.94234, 1.7901, 0.060915, 0.052006, 0.098293
Continuous, 5, 1.2741, -0.4404, 1.6718, 0.22832, 1.2264, 0.90067, 2.0412, -0.0084939, 0.16151, 1.0983
Continuous, 6, 0.79597, 0.090701, 0.020765, 0.2771, 2.8459, 3.0641, 1.4832, 0.17894, 0.15593, 0.10144
Continuous, 7, 1.2085, -0.068862, 0.57443, 0.01733, 0.8933, 0.00015618, 1.1892, -0.05931, 0.1271, 0.069193
Continuous, 8, 0.94183, 0.17638, 0.61155, -0.013363, 3.355e-05, 0.07059, 1.5017, 0.059936, 9.1117e-07, 0.043647
Continuous, 9, 0.15603, -0.033445, 0.19743, -0.046912, 0.61071, 0.90525, 1.0957, -0.086008, 0.055313, 0.17234
Continuous, 10, 1.5582, -0.03089, 1.629, -0.10086, 0.39396, 0.3446, 3.8761, -0.34984, 0.10646, 0.49368
Continuous, 11, 0.77536, 0.12351, 0.95148, 0.17798, 0.94043, 0.64803, 1.2077, -0.089634, 0.077494, 0.09631
Continuous, 12, 0.62108, 0.067109, 1.2715, 0.088899, 0.00023735, 7.266e-05, 1.1755, 0.19435, 0.19273, 0.13299
Continuous, 13, -0.034906, 0.063752, 0.17483, -0.1454, 3.3983, 3.5014, 1.3713, -0.086484, 0.057258, 0.098445
Continuous, 15, 0.34609, 0.007278, -0.013858, -0.073939, 1.5624, 1.519, 1.2253, -0.067139, 0.11521, 0.099492
Continuous, 16, 0.22131, -0.0022662, 0.43337, 0.0010211, 0.32867, 0.11971, 1.3911, -0.19877, 0.69999, 0.16585
Continuous, 17, 0.11197, -0.074967, 0.25159, 0.019871, 1.3459, 1.5263, 2.052, -0.07278, 0.076324, 0.77708
Continuous, 18, 1.149, -0.0356, 1.2142, -0.092431, 0.0049822, 0.0011594, 1.4264, 0.19176, 0.38128, 0.97663
Continuous, 19, 0.23426, 0.15724, 0.9693, -0.019183, 1.13, 0.95487, 1.0471, -0.069952, 0.057307, 0.098029
Continuous, 20, 0.44368, -0.078901, 0.5119, -0.055982, 3.1455, 3.3459, 1.4289, -0.11945, 0.041152, 0.098744
