model_name, participant, v1a, v2a, v1b, v2b, a1, a2, pi1, pi2, Ter,st,sa
Threshold, 1, 3.1921, -0.00047367, 6.5004, 0.0059037, 1.4915, 1.0622, 0.070923, 0.037591, -0.068953, 0.038641, 0.00010381
Threshold, 2, 3.5433, -0.0056909, 3.6943, -0.0032305, 4.5029, 1.9091, 0.63453, 0.65973, -0.039697, 0.030741, 2.7983
Threshold, 3, 2.9917, 0.0064885, 3.1258, -0.0019685, 2.2118, 1.2243, 0.50846, 0.5379, -0.029309, 0.066624, 1.3385
Threshold, 4, 6.5051, -0.022427, 6.5045, -0.05752, 4.4778, 1.4555, 0.49788, 0.54071, 0.047401, 0.25566, 2.7534
Threshold, 5, 3.208, -0.001041, 3.2405, -0.00015385, 2.5352, 1.4792, 0.46887, 0.54198, 0.1001, 0.04792, 1.1726
Threshold, 6, 4.0893, -0.0052984, 4.5664, -0.0010693, 1.8818, 1.0118, 0.26707, 0.24488, 0.1952, 0.15881, 0.32877
Threshold, 7, 3.8149, 0.0013802, 4.0496, 0.0023538, 2.2199, 1.271, 0.64597, 0.66437, -0.090937, 0.031882, 1.0704
Threshold, 8, 4.066, 0.0026726, 4.1768, -0.0053612, 4.0687, 1.5452, 0.79284, 0.85726, -0.16429, 0.018304, 3.8963e-05
Threshold, 9, 2.6101, 0.0004337, 4.0728, 0.0051156, 4.5007, 0.98478, 0.028389, 0.032495, -0.051956, 0.054994, 1.3092
Threshold, 10, 1.9327, -0.00073853, 2.0166, -0.0052631, 4.0978, 2.271, 0.90364, 0.92008, -0.012731, 0.10009, 2.8143
Threshold, 11, 4.0053, -0.016314, 3.5904, -0.0074123, 2.2921, 1.0553, 0.346, 0.39081, -0.071474, 6.176e-07, 0.04803
Threshold, 12, 6.0454, 0.0078471, 6.0257, -0.064663, 4.5039, 1.3033, 0.70091, 0.6745, 0.065857, 0.44126, 2.7799
Threshold, 13, -0.18796, 0.0011081, 0.44662, 0.0016469, 1.4187, 0.78483, 0.12618, 0.086526, -0.051318, 0.24385, 0.019498
Threshold, 15, 6.3379, -0.00012676, 5.7107, 0.0084759, 3.0984, 0.99965, 0.068611, 0.042955, -0.022657, 0.046036, 0.28735
Threshold, 16, 3.3444, -0.0028207, 2.9056, -0.0025385, 2.9639, 1.4233, 0.57006, 0.63516, 0.059976, 0.049931, 2.2934
Threshold, 17, 2.7961, 0.0016314, 3.2827, 0.020804, 2.7992, 1.4654, 0.062659, 0.089818, -0.040117, 0.01348, 0.060553
Threshold, 18, 2.8197, -0.0010685, 2.932, 0.0024802, 3.5275, 1.6485, 0.70604, 0.65012, -0.069689, 0.11143, 0.33247
Threshold, 19, 4.2856, 0.0085735, 3.825, -0.010922, 2.3398, 0.89901, 0.20495, 0.27486, -0.051657, 0.19015, 2.0631
Threshold, 20, 3.0691, 0.0036266, 3.5462, -0.019563, 2.1847, 0.8156, 0.18674, 0.23738, -0.084965, 0.29845, 2.7709
