model_name, participant, is_model, is_high, is_theta, value, prob
Hybrid, 1, true, false, true, -3.1416, 0.15346
Hybrid, 1, true, false, true, -3.0159, 0.15344
Hybrid, 1, true, false, true, -2.8903, 0.15345
Hybrid, 1, true, false, true, -2.7646, 0.15349
Hybrid, 1, true, false, true, -2.6389, 0.15356
Hybrid, 1, true, false, true, -2.5133, 0.15366
Hybrid, 1, true, false, true, -2.3876, 0.15379
Hybrid, 1, true, false, true, -2.2619, 0.15395
Hybrid, 1, true, false, true, -2.1363, 0.15415
Hybrid, 1, true, false, true, -2.0106, 0.15438
Hybrid, 1, true, false, true, -1.885, 0.15463
Hybrid, 1, true, false, true, -1.7593, 0.15492
Hybrid, 1, true, false, true, -1.6336, 0.15524
Hybrid, 1, true, false, true, -1.508, 0.15559
Hybrid, 1, true, false, true, -1.3823, 0.15595
Hybrid, 1, true, false, true, -1.2566, 0.15634
Hybrid, 1, true, false, true, -1.131, 0.15674
Hybrid, 1, true, false, true, -1.0053, 0.15715
Hybrid, 1, true, false, true, -0.87965, 0.15756
Hybrid, 1, true, false, true, -0.75398, 0.15795
Hybrid, 1, true, false, true, -0.62832, 0.15833
Hybrid, 1, true, false, true, -0.50265, 0.15867
Hybrid, 1, true, false, true, -0.37699, 0.15897
Hybrid, 1, true, false, true, -0.25133, 0.15922
Hybrid, 1, true, false, true, -0.12566, 0.15941
Hybrid, 1, true, false, true, 1.1102e-15, 0.15954
Hybrid, 1, true, false, true, 0.12566, 0.15959
Hybrid, 1, true, false, true, 0.25133, 0.15956
Hybrid, 1, true, false, true, 0.37699, 0.15947
Hybrid, 1, true, false, true, 0.50265, 0.15931
Hybrid, 1, true, false, true, 0.62832, 0.15908
Hybrid, 1, true, false, true, 0.75398, 0.1588
Hybrid, 1, true, false, true, 0.87965, 0.15847
Hybrid, 1, true, false, true, 1.0053, 0.1581
Hybrid, 1, true, false, true, 1.131, 0.15772
Hybrid, 1, true, false, true, 1.2566, 0.15731
Hybrid, 1, true, false, true, 1.3823, 0.1569
Hybrid, 1, true, false, true, 1.508, 0.1565
Hybrid, 1, true, false, true, 1.6336, 0.15611
Hybrid, 1, true, false, true, 1.7593, 0.15573
Hybrid, 1, true, false, true, 1.885, 0.15537
Hybrid, 1, true, false, true, 2.0106, 0.15504
Hybrid, 1, true, false, true, 2.1363, 0.15474
Hybrid, 1, true, false, true, 2.2619, 0.15447
Hybrid, 1, true, false, true, 2.3876, 0.15423
Hybrid, 1, true, false, true, 2.5133, 0.15403
Hybrid, 1, true, false, true, 2.6389, 0.15385
Hybrid, 1, true, false, true, 2.7646, 0.15371
Hybrid, 1, true, false, true, 2.8903, 0.15359
Hybrid, 1, true, false, true, 3.0159, 0.15351
Hybrid, 1, true, false, true, 3.1416, 0.15346
Hybrid, 1, true, false, false, 5.6493e-09, 6.4088e-09
Hybrid, 1, true, false, false, 0.0099668, 6.4088e-09
Hybrid, 1, true, false, false, 0.019934, 6.4088e-09
Hybrid, 1, true, false, false, 0.0299, 6.4088e-09
Hybrid, 1, true, false, false, 0.039867, 6.4088e-09
Hybrid, 1, true, false, false, 0.049834, 6.4088e-09
Hybrid, 1, true, false, false, 0.059801, 6.4088e-09
Hybrid, 1, true, false, false, 0.069767, 6.4088e-09
Hybrid, 1, true, false, false, 0.079734, 6.4088e-09
Hybrid, 1, true, false, false, 0.089701, 6.4088e-09
Hybrid, 1, true, false, false, 0.099668, 6.4088e-09
Hybrid, 1, true, false, false, 0.10963, 6.4088e-09
Hybrid, 1, true, false, false, 0.1196, 6.4088e-09
Hybrid, 1, true, false, false, 0.12957, 6.4088e-09
Hybrid, 1, true, false, false, 0.13953, 6.4088e-09
Hybrid, 1, true, false, false, 0.1495, 6.4088e-09
Hybrid, 1, true, false, false, 0.15947, 6.4088e-09
Hybrid, 1, true, false, false, 0.16944, 6.4088e-09
Hybrid, 1, true, false, false, 0.1794, 6.4088e-09
Hybrid, 1, true, false, false, 0.18937, 6.4088e-09
Hybrid, 1, true, false, false, 0.19934, 6.4088e-09
Hybrid, 1, true, false, false, 0.2093, 6.4088e-09
Hybrid, 1, true, false, false, 0.21927, 6.4088e-09
Hybrid, 1, true, false, false, 0.22924, 6.4088e-09
Hybrid, 1, true, false, false, 0.2392, 6.4088e-09
Hybrid, 1, true, false, false, 0.24917, 6.4088e-09
Hybrid, 1, true, false, false, 0.25914, 1.2774
Hybrid, 1, true, false, false, 0.2691, 1.3047
Hybrid, 1, true, false, false, 0.27907, 1.3265
Hybrid, 1, true, false, false, 0.28904, 1.3433
Hybrid, 1, true, false, false, 0.299, 1.3555
Hybrid, 1, true, false, false, 0.30897, 1.3637
Hybrid, 1, true, false, false, 0.31894, 1.3682
Hybrid, 1, true, false, false, 0.3289, 1.3694
Hybrid, 1, true, false, false, 0.33887, 1.3677
Hybrid, 1, true, false, false, 0.34884, 1.3634
Hybrid, 1, true, false, false, 0.3588, 1.3569
Hybrid, 1, true, false, false, 0.36877, 1.3483
Hybrid, 1, true, false, false, 0.37874, 1.338
Hybrid, 1, true, false, false, 0.3887, 1.3262
Hybrid, 1, true, false, false, 0.39867, 1.3131
Hybrid, 1, true, false, false, 0.40864, 1.2988
Hybrid, 1, true, false, false, 0.4186, 1.2836
Hybrid, 1, true, false, false, 0.42857, 1.2675
Hybrid, 1, true, false, false, 0.43854, 1.2508
Hybrid, 1, true, false, false, 0.4485, 1.2335
Hybrid, 1, true, false, false, 0.45847, 1.2157
Hybrid, 1, true, false, false, 0.46844, 1.1976
Hybrid, 1, true, false, false, 0.47841, 1.1792
Hybrid, 1, true, false, false, 0.48837, 1.1605
Hybrid, 1, true, false, false, 0.49834, 1.1417
Hybrid, 1, true, false, false, 0.50831, 1.1228
Hybrid, 1, true, false, false, 0.51827, 1.1039
Hybrid, 1, true, false, false, 0.52824, 1.085
Hybrid, 1, true, false, false, 0.53821, 1.0661
Hybrid, 1, true, false, false, 0.54817, 1.0473
Hybrid, 1, true, false, false, 0.55814, 1.0287
Hybrid, 1, true, false, false, 0.56811, 1.0101
Hybrid, 1, true, false, false, 0.57807, 0.99173
Hybrid, 1, true, false, false, 0.58804, 0.97352
Hybrid, 1, true, false, false, 0.59801, 0.95551
Hybrid, 1, true, false, false, 0.60797, 0.9377
Hybrid, 1, true, false, false, 0.61794, 0.92012
Hybrid, 1, true, false, false, 0.62791, 0.90276
Hybrid, 1, true, false, false, 0.63787, 0.88564
Hybrid, 1, true, false, false, 0.64784, 0.86877
Hybrid, 1, true, false, false, 0.65781, 0.85216
Hybrid, 1, true, false, false, 0.66777, 0.8358
Hybrid, 1, true, false, false, 0.67774, 0.81969
Hybrid, 1, true, false, false, 0.68771, 0.80385
Hybrid, 1, true, false, false, 0.69767, 0.78828
Hybrid, 1, true, false, false, 0.70764, 0.77296
Hybrid, 1, true, false, false, 0.71761, 0.75791
Hybrid, 1, true, false, false, 0.72757, 0.74313
Hybrid, 1, true, false, false, 0.73754, 0.7286
Hybrid, 1, true, false, false, 0.74751, 0.71434
Hybrid, 1, true, false, false, 0.75748, 0.70033
Hybrid, 1, true, false, false, 0.76744, 0.68658
Hybrid, 1, true, false, false, 0.77741, 0.67309
Hybrid, 1, true, false, false, 0.78738, 0.65985
Hybrid, 1, true, false, false, 0.79734, 0.64685
Hybrid, 1, true, false, false, 0.80731, 0.6341
Hybrid, 1, true, false, false, 0.81728, 0.6216
Hybrid, 1, true, false, false, 0.82724, 0.60933
Hybrid, 1, true, false, false, 0.83721, 0.5973
Hybrid, 1, true, false, false, 0.84718, 0.58549
Hybrid, 1, true, false, false, 0.85714, 0.57392
Hybrid, 1, true, false, false, 0.86711, 0.56257
Hybrid, 1, true, false, false, 0.87708, 0.55145
Hybrid, 1, true, false, false, 0.88704, 0.54053
Hybrid, 1, true, false, false, 0.89701, 0.52984
Hybrid, 1, true, false, false, 0.90698, 0.51935
Hybrid, 1, true, false, false, 0.91694, 0.50907
Hybrid, 1, true, false, false, 0.92691, 0.49899
Hybrid, 1, true, false, false, 0.93688, 0.48911
Hybrid, 1, true, false, false, 0.94684, 0.47942
Hybrid, 1, true, false, false, 0.95681, 0.46993
Hybrid, 1, true, false, false, 0.96678, 0.46062
Hybrid, 1, true, false, false, 0.97674, 0.4515
Hybrid, 1, true, false, false, 0.98671, 0.44256
Hybrid, 1, true, false, false, 0.99668, 0.43379
Hybrid, 1, true, false, false, 1.0066, 0.4252
