model_name, participant, is_model, is_theta, value, prob
Hybrid, 1, false, true, -0.34504, 3.3483e-18
Hybrid, 1, false, true, -0.30983, 0.0051263
Hybrid, 1, false, true, -0.27462, 0.017833
Hybrid, 1, false, true, -0.23941, 0.040925
Hybrid, 1, false, true, -0.2042, 0.06646
Hybrid, 1, false, true, -0.16899, 0.090675
Hybrid, 1, false, true, -0.13378, 0.11368
Hybrid, 1, false, true, -0.09857, 0.13683
Hybrid, 1, false, true, -0.063359, 0.15961
Hybrid, 1, false, true, -0.028148, 0.18178
Hybrid, 1, false, true, 0.007062, 0.20311
Hybrid, 1, false, true, 0.042273, 0.21991
Hybrid, 1, false, true, 0.077483, 0.23869
Hybrid, 1, false, true, 0.11269, 0.26084
Hybrid, 1, false, true, 0.1479, 0.28092
Hybrid, 1, false, true, 0.18311, 0.30137
Hybrid, 1, false, true, 0.21833, 0.31963
Hybrid, 1, false, true, 0.25354, 0.33539
Hybrid, 1, false, true, 0.28875, 0.34417
Hybrid, 1, false, true, 0.32396, 0.34909
Hybrid, 1, false, true, 0.35917, 0.35024
Hybrid, 1, false, true, 0.39438, 0.3489
Hybrid, 1, false, true, 0.42959, 0.34938
Hybrid, 1, false, true, 0.4648, 0.35787
Hybrid, 1, false, true, 0.50001, 0.36687
Hybrid, 1, false, true, 0.53522, 0.37254
Hybrid, 1, false, true, 0.57043, 0.37104
Hybrid, 1, false, true, 0.60564, 0.36699
Hybrid, 1, false, true, 0.64085, 0.36234
Hybrid, 1, false, true, 0.67606, 0.35908
Hybrid, 1, false, true, 0.71127, 0.35654
Hybrid, 1, false, true, 0.74648, 0.34889
Hybrid, 1, false, true, 0.78169, 0.34684
Hybrid, 1, false, true, 0.8169, 0.34768
Hybrid, 1, false, true, 0.85211, 0.35346
Hybrid, 1, false, true, 0.88733, 0.3617
Hybrid, 1, false, true, 0.92254, 0.37436
Hybrid, 1, false, true, 0.95775, 0.3811
Hybrid, 1, false, true, 0.99296, 0.38447
Hybrid, 1, false, true, 1.0282, 0.38889
Hybrid, 1, false, true, 1.0634, 0.38757
Hybrid, 1, false, true, 1.0986, 0.37898
Hybrid, 1, false, true, 1.1338, 0.36696
Hybrid, 1, false, true, 1.169, 0.35166
Hybrid, 1, false, true, 1.2042, 0.32896
Hybrid, 1, false, true, 1.2394, 0.30255
Hybrid, 1, false, true, 1.2746, 0.27627
Hybrid, 1, false, true, 1.3099, 0.25361
Hybrid, 1, false, true, 1.3451, 0.24105
Hybrid, 1, false, true, 1.3803, 0.23589
Hybrid, 1, false, true, 1.4155, 0.23874
Hybrid, 1, false, true, 1.4507, 0.24674
Hybrid, 1, false, true, 1.4859, 0.26548
Hybrid, 1, false, true, 1.5211, 0.28898
Hybrid, 1, false, true, 1.5563, 0.3081
Hybrid, 1, false, true, 1.5915, 0.32127
Hybrid, 1, false, true, 1.6267, 0.33158
Hybrid, 1, false, true, 1.662, 0.34391
Hybrid, 1, false, true, 1.6972, 0.34378
Hybrid, 1, false, true, 1.7324, 0.33538
Hybrid, 1, false, true, 1.7676, 0.32035
Hybrid, 1, false, true, 1.8028, 0.30254
Hybrid, 1, false, true, 1.838, 0.28226
Hybrid, 1, false, true, 1.8732, 0.2672
