model_name, participant, is_model, is_high, quantile_idx, rt, theta
Continuous, 1, true, true, 0.1, 0.12929, -3.1416
Continuous, 1, true, true, 0.1, 0.12916, -3.0159
Continuous, 1, true, true, 0.1, 0.12899, -2.8903
Continuous, 1, true, true, 0.1, 0.12877, -2.7646
Continuous, 1, true, true, 0.1, 0.12852, -2.6389
Continuous, 1, true, true, 0.1, 0.12823, -2.5133
Continuous, 1, true, true, 0.1, 0.12792, -2.3876
Continuous, 1, true, true, 0.1, 0.12758, -2.2619
Continuous, 1, true, true, 0.1, 0.12723, -2.1363
Continuous, 1, true, true, 0.1, 0.12686, -2.0106
Continuous, 1, true, true, 0.1, 0.12649, -1.885
Continuous, 1, true, true, 0.1, 0.12612, -1.7593
Continuous, 1, true, true, 0.1, 0.12575, -1.6336
Continuous, 1, true, true, 0.1, 0.1254, -1.508
Continuous, 1, true, true, 0.1, 0.12507, -1.3823
Continuous, 1, true, true, 0.1, 0.12475, -1.2566
Continuous, 1, true, true, 0.1, 0.12447, -1.131
Continuous, 1, true, true, 0.1, 0.12421, -1.0053
Continuous, 1, true, true, 0.1, 0.12399, -0.87965
Continuous, 1, true, true, 0.1, 0.12381, -0.75398
Continuous, 1, true, true, 0.1, 0.12366, -0.62832
Continuous, 1, true, true, 0.1, 0.12356, -0.50265
Continuous, 1, true, true, 0.1, 0.12351, -0.37699
Continuous, 1, true, true, 0.1, 0.12349, -0.25133
Continuous, 1, true, true, 0.1, 0.12352, -0.12566
Continuous, 1, true, true, 0.1, 0.1236, 1.1102e-15
Continuous, 1, true, true, 0.1, 0.12371, 0.12566
Continuous, 1, true, true, 0.1, 0.12387, 0.25133
Continuous, 1, true, true, 0.1, 0.12407, 0.37699
Continuous, 1, true, true, 0.1, 0.1243, 0.50265
Continuous, 1, true, true, 0.1, 0.12457, 0.62832
Continuous, 1, true, true, 0.1, 0.12486, 0.75398
Continuous, 1, true, true, 0.1, 0.12519, 0.87965
Continuous, 1, true, true, 0.1, 0.12553, 1.0053
Continuous, 1, true, true, 0.1, 0.12588, 1.131
Continuous, 1, true, true, 0.1, 0.12625, 1.2566
Continuous, 1, true, true, 0.1, 0.12662, 1.3823
Continuous, 1, true, true, 0.1, 0.12699, 1.508
Continuous, 1, true, true, 0.1, 0.12736, 1.6336
Continuous, 1, true, true, 0.1, 0.12771, 1.7593
Continuous, 1, true, true, 0.1, 0.12803, 1.885
Continuous, 1, true, true, 0.1, 0.12834, 2.0106
Continuous, 1, true, true, 0.1, 0.12861, 2.1363
Continuous, 1, true, true, 0.1, 0.12885, 2.2619
Continuous, 1, true, true, 0.1, 0.12905, 2.3876
Continuous, 1, true, true, 0.1, 0.12921, 2.5133
Continuous, 1, true, true, 0.1, 0.12933, 2.6389
Continuous, 1, true, true, 0.1, 0.12939, 2.7646
Continuous, 1, true, true, 0.1, 0.12941, 2.8903
Continuous, 1, true, true, 0.1, 0.12937, 3.0159
Continuous, 1, true, true, 0.5, 0.40029, -3.1416
Continuous, 1, true, true, 0.5, 0.39988, -3.0159
Continuous, 1, true, true, 0.5, 0.39933, -2.8903
Continuous, 1, true, true, 0.5, 0.39865, -2.7646
Continuous, 1, true, true, 0.5, 0.39785, -2.6389
Continuous, 1, true, true, 0.5, 0.39693, -2.5133
Continuous, 1, true, true, 0.5, 0.39593, -2.3876
Continuous, 1, true, true, 0.5, 0.39484, -2.2619
Continuous, 1, true, true, 0.5, 0.3937, -2.1363
Continuous, 1, true, true, 0.5, 0.39251, -2.0106
Continuous, 1, true, true, 0.5, 0.39131, -1.885
Continuous, 1, true, true, 0.5, 0.3901, -1.7593
Continuous, 1, true, true, 0.5, 0.3889, -1.6336
Continuous, 1, true, true, 0.5, 0.38774, -1.508
Continuous, 1, true, true, 0.5, 0.38664, -1.3823
Continuous, 1, true, true, 0.5, 0.38565, -1.2566
Continuous, 1, true, true, 0.5, 0.38473, -1.131
Continuous, 1, true, true, 0.5, 0.38391, -1.0053
Continuous, 1, true, true, 0.5, 0.3832, -0.87965
Continuous, 1, true, true, 0.5, 0.3826, -0.75398
Continuous, 1, true, true, 0.5, 0.38214, -0.62832
Continuous, 1, true, true, 0.5, 0.38181, -0.50265
Continuous, 1, true, true, 0.5, 0.38162, -0.37699
Continuous, 1, true, true, 0.5, 0.38158, -0.25133
Continuous, 1, true, true, 0.5, 0.38167, -0.12566
