model_name, participant, is_model, is_high, is_theta, value, prob
Thresh, 1, false, false, true, -3.1404, 2.7815e-11
Thresh, 1, false, false, true, -3.077, 0
Thresh, 1, false, false, true, -3.0135, 0.23485
Thresh, 1, false, false, true, -2.9501, 0.15474
Thresh, 1, false, false, true, -2.8866, 0.22292
Thresh, 1, false, false, true, -2.8232, 0.22665
Thresh, 1, false, false, true, -2.7597, 0.41164
Thresh, 1, false, false, true, -2.6963, 0.2284
Thresh, 1, false, false, true, -2.6328, 0.034736
Thresh, 1, false, false, true, -2.5694, 0.14952
Thresh, 1, false, false, true, -2.5059, 0.19908
Thresh, 1, false, false, true, -2.4425, 0.14543
Thresh, 1, false, false, true, -2.379, 0.044228
Thresh, 1, false, false, true, -2.3156, 0.022065
Thresh, 1, false, false, true, -2.2521, 0.057215
Thresh, 1, false, false, true, -2.1887, 0.094063
Thresh, 1, false, false, true, -2.1253, 0.13521
Thresh, 1, false, false, true, -2.0618, 0.15591
Thresh, 1, false, false, true, -1.9984, 0.14199
Thresh, 1, false, false, true, -1.9349, 0.12951
Thresh, 1, false, false, true, -1.8715, 0.12233
Thresh, 1, false, false, true, -1.808, 0.13186
Thresh, 1, false, false, true, -1.7446, 0.14258
Thresh, 1, false, false, true, -1.6811, 0.15676
Thresh, 1, false, false, true, -1.6177, 0.15751
Thresh, 1, false, false, true, -1.5542, 0.15201
Thresh, 1, false, false, true, -1.4908, 0.13819
Thresh, 1, false, false, true, -1.4273, 0.112
Thresh, 1, false, false, true, -1.3639, 0.092902
Thresh, 1, false, false, true, -1.3005, 0.10057
Thresh, 1, false, false, true, -1.237, 0.12101
Thresh, 1, false, false, true, -1.1736, 0.15123
Thresh, 1, false, false, true, -1.1101, 0.16989
Thresh, 1, false, false, true, -1.0467, 0.18673
Thresh, 1, false, false, true, -0.98322, 0.20414
Thresh, 1, false, false, true, -0.91977, 0.21518
Thresh, 1, false, false, true, -0.85633, 0.21904
Thresh, 1, false, false, true, -0.79288, 0.21268
Thresh, 1, false, false, true, -0.72943, 0.20196
Thresh, 1, false, false, true, -0.66599, 0.20087
Thresh, 1, false, false, true, -0.60254, 0.20037
Thresh, 1, false, false, true, -0.53909, 0.20095
Thresh, 1, false, false, true, -0.47565, 0.18649
Thresh, 1, false, false, true, -0.4122, 0.1765
Thresh, 1, false, false, true, -0.34876, 0.18965
Thresh, 1, false, false, true, -0.28531, 0.19933
